date,country_code,downloads
2022-02-22,AU,1
2022-02-22,CA,1
2022-02-22,CN,47
2022-02-22,DE,5
2022-02-22,DK,5
2022-02-22,FR,9
2022-02-22,GB,8
2022-02-22,HK,44
2022-02-22,IL,1
2022-02-22,IN,1
2022-02-22,JP,11
2022-02-22,KR,4
2022-02-22,LU,5
2022-02-22,PL,5
2022-02-22,RU,2
2022-02-22,SE,1
2022-02-22,SG,10
2022-02-22,US,120
2022-02-22,Unknown,16
2022-02-23,CN,6
2022-02-23,FR,1
2022-02-23,HK,2
2022-02-23,JP,1
2022-02-23,NO,2
2022-02-23,US,6
2022-02-23,Unknown,1
2022-02-24,DE,2
2022-02-24,DK,1
2022-02-24,KR,1
2022-02-24,US,3
2022-02-25,CH,1
2022-02-25,CN,32
2022-02-25,DE,3
2022-02-25,DK,4
2022-02-25,FR,7
2022-02-25,GB,4
2022-02-25,HK,25
2022-02-25,IN,3
2022-02-25,JP,10
2022-02-25,KR,2
2022-02-25,LU,2
2022-02-25,PL,2
2022-02-25,RU,4
2022-02-25,SE,2
2022-02-25,SG,9
2022-02-25,US,55
2022-02-25,Unknown,8
2022-02-25,ZA,2
2022-02-26,AU,2
2022-02-26,CA,2
2022-02-26,CN,44
2022-02-26,CZ,1
2022-02-26,DE,4
2022-02-26,DK,4
2022-02-26,FR,13
2022-02-26,GB,4
2022-02-26,HK,24
2022-02-26,IL,4
2022-02-26,IN,2
2022-02-26,IR,5
2022-02-26,JP,10
2022-02-26,KR,2
2022-02-26,LU,2
2022-02-26,NO,6
2022-02-26,PL,2
2022-02-26,RU,3
2022-02-26,SE,4
2022-02-26,SG,7
2022-02-26,US,61
2022-02-26,Unknown,12
2022-02-27,AU,2
2022-02-27,CN,2
2022-02-27,DE,6
2022-02-27,FR,3
2022-02-27,HK,3
2022-02-27,JP,4
2022-02-27,RU,5
2022-02-27,SG,9
2022-02-27,US,23
2022-02-27,Unknown,6
2022-02-28,CA,2
2022-02-28,CN,7
2022-02-28,DK,4
2022-02-28,HK,3
2022-02-28,NL,3
2022-02-28,NO,2
2022-02-28,PL,4
2022-02-28,RU,5
2022-02-28,SE,2
2022-02-28,US,19
2022-03-01,AU,5
2022-03-01,CN,6
2022-03-01,FI,2
2022-03-01,HK,9
2022-03-01,NL,5
2022-03-01,SG,2
2022-03-01,US,11
2022-03-01,Unknown,1
2022-03-02,AU,7
2022-03-02,CN,143
2022-03-02,DE,8
2022-03-02,DK,8
2022-03-02,FR,26
2022-03-02,GB,44
2022-03-02,HK,201
2022-03-02,IL,21
2022-03-02,IN,2
2022-03-02,JP,54
2022-03-02,KR,2
2022-03-02,LU,2
2022-03-02,NL,2
2022-03-02,PL,14
2022-03-02,RU,35
2022-03-02,SE,8
2022-03-02,SG,47
2022-03-02,US,399
2022-03-02,Unknown,71
2022-03-02,ZA,2
2022-03-03,AU,2
2022-03-03,CN,27
2022-03-03,DE,4
2022-03-03,FR,8
2022-03-03,HK,3
2022-03-03,IN,2
2022-03-03,JP,4
2022-03-03,KR,2
2022-03-03,LU,2
2022-03-03,NL,2
2022-03-03,NO,4
2022-03-03,RU,28
2022-03-03,SE,4
2022-03-03,SG,10
2022-03-03,US,54
2022-03-03,Unknown,14
2022-03-04,AU,9
2022-03-04,CA,4
2022-03-04,CH,8
2022-03-04,CN,17
2022-03-04,DK,4
2022-03-04,HK,4
2022-03-04,IR,4
2022-03-04,JP,2
2022-03-04,KR,9
2022-03-04,PL,4
2022-03-04,RU,31
2022-03-04,SG,4
2022-03-04,TR,1
2022-03-04,US,22
2022-03-05,CA,9
2022-03-05,CN,9
2022-03-05,FR,2
2022-03-05,GB,11
2022-03-05,HK,3
2022-03-05,RU,27
2022-03-05,US,20
2022-03-05,Unknown,9
2022-03-06,CN,9
2022-03-06,ES,9
2022-03-06,RU,25
2022-03-06,US,38
2022-03-07,HK,1
2022-03-07,RU,13
2022-03-07,SG,2
2022-03-07,US,1
2022-03-08,AU,3
2022-03-08,CN,18
2022-03-08,HK,12
2022-03-08,JP,9
2022-03-08,RU,25
2022-03-08,US,5
2022-03-09,AU,2
2022-03-09,FR,9
2022-03-09,NO,4
2022-03-09,RU,10
2022-03-09,SG,9
2022-03-09,US,9
2022-03-10,DE,9
2022-03-10,NL,9
2022-03-10,RU,25
2022-03-10,SG,9
2022-03-10,US,18
2022-03-11,IL,4
2022-03-11,RU,12
2022-03-11,US,9
2022-03-12,RU,9
2022-03-12,US,9
2022-03-13,RU,9
2022-03-13,US,2
2022-03-14,AU,2
2022-03-14,CN,9
2022-03-14,DE,8
2022-03-14,KR,9
2022-03-14,RU,9
2022-03-14,SG,9
2022-03-14,US,10
2022-03-14,Unknown,4
2022-03-15,KR,1
2022-03-15,NL,9
2022-03-15,US,3
2022-03-16,RU,9
2022-03-17,CN,9
2022-03-17,JP,6
2022-03-17,RU,6
2022-03-17,US,9
2022-03-18,AE,9
2022-03-18,US,9
2022-03-19,CN,9
2022-03-19,RU,3
2022-03-19,US,2
2022-03-20,CN,9
2022-03-20,GB,9
2022-03-20,RU,12
2022-03-20,TW,9
2022-03-20,US,1
2022-03-21,AU,9
2022-03-21,FR,2
2022-03-21,GB,6
2022-03-21,RU,11
2022-03-21,US,1
2022-03-22,CN,9
2022-03-22,FR,6
2022-03-22,HK,9
2022-03-22,RU,9
2022-03-22,TW,9
2022-03-23,CN,9
2022-03-23,FR,2
2022-03-23,US,9
2022-03-23,Unknown,9
2022-03-24,CN,9
2022-03-24,FR,9
2022-03-24,RU,9
2022-03-24,US,9
2022-03-24,Unknown,9
2022-03-25,RU,9
2022-03-26,HK,9
2022-03-26,NL,9
2022-03-26,RU,9
2022-03-26,UA,1
2022-03-27,AE,9
2022-03-28,HK,9
2022-03-28,US,9
2022-03-29,CN,18
2022-03-29,GB,9
2022-03-29,RU,18
2022-03-29,US,9
2022-03-30,JP,9
2022-03-30,US,2
2022-03-31,AU,2
2022-03-31,IS,9
2022-03-31,KR,9
2022-03-31,Unknown,1
2022-04-01,DE,9
2022-04-01,HK,9
2022-04-01,RU,2
2022-04-01,US,26
2022-04-02,RU,4
2022-04-03,RU,11
2022-04-03,SG,1
2022-04-04,RU,10
2022-04-04,US,1
2022-04-05,FI,2
2022-04-05,SG,9
2022-04-05,US,10
2022-04-06,CH,1
2022-04-06,CN,9
2022-04-07,DE,9
2022-04-07,HK,9
2022-04-07,SG,9
2022-04-07,US,10
2022-04-08,KR,9
2022-04-08,NO,9
2022-04-08,US,28
2022-04-10,KR,9
2022-04-10,RU,2
2022-04-11,CN,9
2022-04-11,CZ,1
2022-04-12,FI,9
2022-04-12,US,14
2022-04-13,CN,5
2022-04-13,GB,11
2022-04-13,RU,7
2022-04-13,US,9
2022-04-14,CN,9
2022-04-14,JP,9
2022-04-14,US,16
2022-04-15,A1,1
2022-04-15,AU,9
2022-04-15,US,9
2022-04-15,Unknown,9
2022-04-16,CN,9
2022-04-16,RU,6
2022-04-16,US,9
2022-04-17,SG,9
2022-04-19,US,10
2022-04-20,SG,9
2022-04-20,TW,9
2022-04-20,US,9
2022-04-21,US,9
2022-04-23,CN,18
2022-04-23,RU,9
2022-04-24,US,9
2022-04-25,CN,9
2022-04-25,US,2
2022-04-26,A1,2
2022-04-26,FR,8
2022-04-26,US,9
2022-04-27,US,12
2022-04-28,US,9
2022-04-29,JP,9
2022-04-29,US,1
2022-05-02,US,1
2022-05-04,CN,9
2022-05-04,US,1
2022-05-05,SG,9
2022-05-05,US,9
2022-05-06,RU,18
2022-05-06,US,6
2022-05-07,CN,1
2022-05-07,FR,6
2022-05-07,US,6
2022-05-08,US,11
2022-05-09,KR,9
2022-05-09,US,1
2022-05-10,AE,2
2022-05-10,AU,2
2022-05-10,CA,2
2022-05-10,CH,2
2022-05-10,CN,74
2022-05-10,DE,1
2022-05-10,DK,8
2022-05-10,EE,17
2022-05-10,FR,14
2022-05-10,GB,18
2022-05-10,HK,65
2022-05-10,IL,2
2022-05-10,IN,2
2022-05-10,IS,2
2022-05-10,JP,22
2022-05-10,KR,2
2022-05-10,LU,8
2022-05-10,PL,2
2022-05-10,RU,41
2022-05-10,SE,6
2022-05-10,SG,34
2022-05-10,TW,8
2022-05-10,US,444
2022-05-10,Unknown,53
2022-05-11,CA,8
2022-05-11,CN,14
2022-05-11,DE,2
2022-05-11,DK,4
2022-05-11,FR,2
