date,downloads
2022-02-22,296
2022-02-23,19
2022-02-24,7
2022-02-25,175
2022-02-26,218
2022-02-27,63
2022-02-28,51
2022-03-01,41
2022-03-02,1096
2022-03-03,170
2022-03-04,123
2022-03-05,90
2022-03-06,81
2022-03-07,17
2022-03-08,72
2022-03-09,43
2022-03-10,70
2022-03-11,25
2022-03-12,18
2022-03-13,11
2022-03-14,60
2022-03-15,13
2022-03-16,9
2022-03-17,30
2022-03-18,18
2022-03-19,14
2022-03-20,40
2022-03-21,29
2022-03-22,42
2022-03-23,29
2022-03-24,45
2022-03-25,9
2022-03-26,28
2022-03-27,9
2022-03-28,18
2022-03-29,54
2022-03-30,11
2022-03-31,21
2022-04-01,46
2022-04-02,4
2022-04-03,12
2022-04-04,11
2022-04-05,21
2022-04-06,10
2022-04-07,37
2022-04-08,46
2022-04-10,11
2022-04-11,10
2022-04-12,23
2022-04-13,32
2022-04-14,34
2022-04-15,28
2022-04-16,24
2022-04-17,9
2022-04-19,10
2022-04-20,27
2022-04-21,9
2022-04-23,27
2022-04-24,9
2022-04-25,11
2022-04-26,19
2022-04-27,12
2022-04-28,9
2022-04-29,10
2022-05-02,1
2022-05-04,10
2022-05-05,18
2022-05-06,24
2022-05-07,13
2022-05-08,11
2022-05-09,10
2022-05-10,831
2022-05-11,65
2022-05-12,21
2022-05-13,16
2022-05-14,10
2022-05-15,3
2022-05-16,20
2022-05-17,428
2022-05-18,107
2022-05-19,86
2022-05-20,128
2022-05-21,57
2022-05-22,60
2022-05-23,37
2022-05-24,28
2022-05-25,216
2022-05-26,75
2022-05-27,38
2022-05-28,245
2022-05-29,74
2022-05-30,53
2022-05-31,63
2022-06-01,93
2022-06-02,19
2022-06-03,125
2022-06-04,135
2022-06-05,101
2022-06-06,94
2022-06-07,22
2022-06-08,153
2022-06-09,251
2022-06-10,205
2022-06-11,91
2022-06-12,20
2022-06-13,38
2022-06-14,94
2022-06-15,81
2022-06-16,61
2022-06-17,45
2022-06-18,43
2022-06-19,43
2022-06-20,9
2022-06-21,73
2022-06-22,20
2022-06-23,77
2022-06-24,161
2022-06-25,146
2022-06-26,47
2022-06-27,295
2022-06-28,108
2022-06-29,208
2022-06-30,204
2022-07-01,273
2022-07-02,45
2022-07-03,137
2022-07-04,45
2022-07-05,69
2022-07-06,40
2022-07-07,78
2022-07-08,267
2022-07-09,107
2022-07-10,122
2022-07-11,28
2022-07-12,34
2022-07-13,17
2022-07-14,19
2022-07-15,7
2022-07-16,9
2022-07-17,45
2022-07-18,58
2022-07-19,43
2022-07-20,44
2022-07-21,77
2022-07-22,67
2022-07-23,88
2022-07-24,2
2022-07-25,106
2022-07-26,72
2022-07-27,38
2022-07-28,21
2022-07-29,129
2022-07-30,39
2022-07-31,59
2022-08-01,38
2022-08-02,18
2022-08-03,22
2022-08-04,70
2022-08-05,267
2022-08-06,344
2022-08-07,226
2022-08-08,217
2022-08-09,240
2022-08-10,142
2022-08-11,109
2022-08-12,254
2022-08-13,132
2022-08-14,41
2022-08-15,150
2022-08-16,232
2022-08-17,34
2022-08-18,158
2022-08-19,114
2022-08-20,148
2022-08-21,198
2022-08-22,88
2022-08-23,166
2022-08-24,229
2022-08-25,130
2022-08-26,327
2022-08-27,62
2022-08-28,79
2022-08-29,31
2022-08-30,82
2022-08-31,130
2022-09-01,177
2022-09-02,161
2022-09-03,246
2022-09-04,53
2022-09-05,113
2022-09-06,83
2022-09-07,117
2022-09-08,143
2022-09-09,256
2022-09-10,69
2022-09-11,80
2022-09-12,112
2022-09-13,27
2022-09-14,185
2022-09-15,183
2022-09-16,111
2022-09-17,117
2022-09-18,55
2022-09-19,166
2022-09-20,41
2022-09-21,40
2022-09-22,151
2022-09-23,101
2022-09-24,11
2022-09-25,13
2022-09-26,157
2022-09-27,131
2022-09-28,79
2022-09-29,24
2022-09-30,115
2022-10-01,123
2022-10-02,10
2022-10-03,102
2022-10-04,189
2022-10-05,93
2022-10-06,36
2022-10-07,152
2022-10-08,30
2022-10-09,48
2022-10-10,53
2022-10-11,19
2022-10-12,111
2022-10-13,164
2022-10-14,84
2022-10-15,103
2022-10-16,76
2022-10-17,53
2022-10-18,124
2022-10-19,133
2022-10-20,57
2022-10-21,73
2022-10-22,159
2022-10-23,15
2022-10-24,13
2022-10-25,86
2022-10-26,136
2022-10-27,75
2022-10-28,15
2022-10-29,130
2022-10-30,138
2022-10-31,12
2022-11-01,31
2022-11-02,52
2022-11-03,25
2022-11-04,82
2022-11-05,75
2022-11-06,172
2022-11-07,72
2022-11-08,34
2022-11-09,15
2022-11-10,231
2022-11-11,208
2022-11-12,106
2022-11-13,99
2022-11-14,42
2022-11-15,95
2022-11-16,34
2022-11-17,119
2022-11-18,71
2022-11-19,114
2022-11-20,37
2022-11-21,148
2022-11-22,10
2022-11-23,26
2022-11-24,215
2022-11-25,144
2022-11-26,63
2022-11-27,137
2022-11-28,21
2022-11-29,165
2022-11-30,38
2022-12-01,70
2022-12-02,133
2022-12-03,73
2022-12-04,7
2022-12-05,14
2022-12-06,33
2022-12-07,126
2022-12-08,134
2022-12-09,70
2022-12-10,129
2022-12-11,88
2022-12-12,37
2022-12-13,31
2022-12-14,16
2022-12-15,22
2022-12-16,13
2022-12-17,22
2022-12-18,10
2022-12-19,26
2022-12-20,76
2022-12-21,101
2022-12-22,46
2022-12-23,25
2022-12-24,11
2022-12-25,66
2022-12-26,96
2022-12-27,131
2022-12-28,52
2022-12-29,23
2022-12-30,106
2022-12-31,117
2023-01-01,118
2023-01-02,103
2023-01-03,111
2023-01-04,123
2023-01-05,99
2023-01-06,70
2023-01-07,212
2023-01-08,295
2023-01-09,101
2023-01-10,53
2023-01-11,69
2023-01-12,131
2023-01-13,68
2023-01-14,76
2023-01-15,23
2023-01-16,38
2023-01-17,28
2023-01-18,10
2023-01-19,47
2023-01-20,108
2023-01-21,11
2023-01-22,92
2023-01-23,8
2023-01-24,43
2023-01-25,147
2023-01-26,18
2023-01-27,13
2023-01-28,30
2023-01-29,58
2023-01-30,9
2023-01-31,76
2023-02-01,24
2023-02-02,84
2023-02-03,14
2023-02-04,76
2023-02-05,29
2023-02-06,15
