date,category,downloads
2022-02-22,with_mirrors,296
2022-02-22,without_mirrors,25
2022-02-23,with_mirrors,19
2022-02-24,with_mirrors,7
2022-02-24,without_mirrors,1
2022-02-25,with_mirrors,175
2022-02-25,without_mirrors,10
2022-02-26,with_mirrors,218
2022-02-26,without_mirrors,5
2022-02-27,with_mirrors,63
2022-02-27,without_mirrors,1
2022-02-28,with_mirrors,51
2022-02-28,without_mirrors,1
2022-03-01,with_mirrors,41
2022-03-02,with_mirrors,1096
2022-03-02,without_mirrors,46
2022-03-03,with_mirrors,170
2022-03-03,without_mirrors,2
2022-03-04,with_mirrors,123
2022-03-04,without_mirrors,1
2022-03-05,with_mirrors,90
2022-03-06,with_mirrors,81
2022-03-07,with_mirrors,17
2022-03-08,with_mirrors,72
2022-03-08,without_mirrors,1
2022-03-09,with_mirrors,43
2022-03-10,with_mirrors,70
2022-03-11,with_mirrors,25
2022-03-12,with_mirrors,18
2022-03-13,with_mirrors,11
2022-03-14,with_mirrors,60
2022-03-15,with_mirrors,13
2022-03-15,without_mirrors,1
2022-03-16,with_mirrors,9
2022-03-17,with_mirrors,30
2022-03-18,with_mirrors,18
2022-03-19,with_mirrors,14
2022-03-20,with_mirrors,40
2022-03-21,with_mirrors,29
2022-03-22,with_mirrors,42
2022-03-23,with_mirrors,29
2022-03-24,with_mirrors,45
2022-03-25,with_mirrors,9
2022-03-26,with_mirrors,28
2022-03-27,with_mirrors,9
2022-03-28,with_mirrors,18
2022-03-29,with_mirrors,54
2022-03-30,with_mirrors,11
2022-03-31,with_mirrors,21
2022-04-01,with_mirrors,46
2022-04-02,with_mirrors,4
2022-04-03,with_mirrors,12
2022-04-04,with_mirrors,11
2022-04-05,with_mirrors,21
2022-04-06,with_mirrors,10
2022-04-07,with_mirrors,37
2022-04-08,with_mirrors,46
2022-04-10,with_mirrors,11
2022-04-11,with_mirrors,10
2022-04-12,with_mirrors,23
2022-04-13,with_mirrors,32
2022-04-14,with_mirrors,34
2022-04-15,with_mirrors,28
2022-04-15,without_mirrors,1
2022-04-16,with_mirrors,24
2022-04-17,with_mirrors,9
2022-04-19,with_mirrors,10
2022-04-20,with_mirrors,27
2022-04-21,with_mirrors,9
2022-04-23,with_mirrors,27
2022-04-24,with_mirrors,9
2022-04-25,with_mirrors,11
2022-04-26,with_mirrors,19
2022-04-27,with_mirrors,12
2022-04-28,with_mirrors,9
2022-04-29,with_mirrors,10
2022-05-02,with_mirrors,1
2022-05-04,with_mirrors,10
2022-05-04,without_mirrors,1
2022-05-05,with_mirrors,18
2022-05-06,with_mirrors,24
2022-05-07,with_mirrors,13
2022-05-07,without_mirrors,1
2022-05-08,with_mirrors,11
2022-05-08,without_mirrors,2
2022-05-09,with_mirrors,10
2022-05-09,without_mirrors,1
2022-05-10,with_mirrors,831
2022-05-10,without_mirrors,33
2022-05-11,with_mirrors,65
2022-05-12,with_mirrors,21
2022-05-12,without_mirrors,2
2022-05-13,with_mirrors,16
2022-05-13,without_mirrors,4
2022-05-14,with_mirrors,10
2022-05-15,with_mirrors,3
2022-05-15,without_mirrors,3
2022-05-16,with_mirrors,20
2022-05-16,without_mirrors,3
2022-05-17,with_mirrors,428
2022-05-17,without_mirrors,21
2022-05-18,with_mirrors,107
2022-05-18,without_mirrors,4
2022-05-19,with_mirrors,86
2022-05-19,without_mirrors,16
2022-05-20,with_mirrors,128
2022-05-20,without_mirrors,90
2022-05-21,with_mirrors,57
2022-05-21,without_mirrors,16
2022-05-22,with_mirrors,60
2022-05-22,without_mirrors,10
2022-05-23,with_mirrors,37
2022-05-23,without_mirrors,26
2022-05-24,with_mirrors,28
2022-05-24,without_mirrors,13
2022-05-25,with_mirrors,216
2022-05-25,without_mirrors,14
2022-05-26,with_mirrors,75
2022-05-26,without_mirrors,12
2022-05-27,with_mirrors,38
2022-05-27,without_mirrors,11
2022-05-28,with_mirrors,245
2022-05-28,without_mirrors,16
2022-05-29,with_mirrors,74
2022-05-29,without_mirrors,6
2022-05-30,with_mirrors,53
2022-05-30,without_mirrors,27
2022-05-31,with_mirrors,63
2022-05-31,without_mirrors,11
2022-06-01,with_mirrors,93
2022-06-01,without_mirrors,13
2022-06-02,with_mirrors,19
2022-06-02,without_mirrors,5
2022-06-03,with_mirrors,125
2022-06-03,without_mirrors,8
2022-06-04,with_mirrors,135
2022-06-04,without_mirrors,1
2022-06-05,with_mirrors,101
2022-06-05,without_mirrors,5
2022-06-06,with_mirrors,94
2022-06-06,without_mirrors,13
2022-06-07,with_mirrors,22
2022-06-07,without_mirrors,8
2022-06-08,with_mirrors,153
2022-06-08,without_mirrors,19
2022-06-09,with_mirrors,251
2022-06-09,without_mirrors,26
2022-06-10,with_mirrors,205
2022-06-10,without_mirrors,8
2022-06-11,with_mirrors,91
2022-06-11,without_mirrors,5
2022-06-12,with_mirrors,20
2022-06-12,without_mirrors,2
2022-06-13,with_mirrors,38
2022-06-13,without_mirrors,11
2022-06-14,with_mirrors,94
2022-06-14,without_mirrors,3
2022-06-15,with_mirrors,81
2022-06-15,without_mirrors,4
2022-06-16,with_mirrors,61
2022-06-16,without_mirrors,8
2022-06-17,with_mirrors,45
2022-06-17,without_mirrors,3
2022-06-18,with_mirrors,43
2022-06-18,without_mirrors,5
2022-06-19,with_mirrors,43
2022-06-20,with_mirrors,9
2022-06-20,without_mirrors,2
2022-06-21,with_mirrors,73
2022-06-21,without_mirrors,8
2022-06-22,with_mirrors,20
2022-06-22,without_mirrors,10
2022-06-23,with_mirrors,77
2022-06-23,without_mirrors,6
2022-06-24,with_mirrors,161
2022-06-24,without_mirrors,12
2022-06-25,with_mirrors,146
2022-06-25,without_mirrors,3
2022-06-26,with_mirrors,47
2022-06-26,without_mirrors,3
2022-06-27,with_mirrors,295
2022-06-27,without_mirrors,21
2022-06-28,with_mirrors,108
2022-06-28,without_mirrors,15
2022-06-29,with_mirrors,208
2022-06-29,without_mirrors,11
2022-06-30,with_mirrors,204
2022-06-30,without_mirrors,14
2022-07-01,with_mirrors,273
2022-07-01,without_mirrors,6
2022-07-02,with_mirrors,45
2022-07-02,without_mirrors,3
2022-07-03,with_mirrors,137
2022-07-03,without_mirrors,1
2022-07-04,with_mirrors,45
2022-07-04,without_mirrors,4
2022-07-05,with_mirrors,69
2022-07-05,without_mirrors,6
2022-07-06,with_mirrors,40
2022-07-06,without_mirrors,2
2022-07-07,with_mirrors,78
2022-07-07,without_mirrors,7
2022-07-08,with_mirrors,267
2022-07-08,without_mirrors,14
2022-07-09,with_mirrors,107
2022-07-09,without_mirrors,6
2022-07-10,with_mirrors,122
2022-07-10,without_mirrors,2
2022-07-11,with_mirrors,28
2022-07-11,without_mirrors,5
2022-07-12,with_mirrors,34
2022-07-12,without_mirrors,3
2022-07-13,with_mirrors,17
2022-07-13,without_mirrors,6
2022-07-14,with_mirrors,19
2022-07-14,without_mirrors,5
2022-07-15,with_mirrors,7
2022-07-15,without_mirrors,3
2022-07-16,with_mirrors,9
2022-07-16,without_mirrors,5
2022-07-17,with_mirrors,45
2022-07-17,without_mirrors,5
2022-07-18,with_mirrors,58
2022-07-18,without_mirrors,2
2022-07-19,with_mirrors,43
2022-07-19,without_mirrors,6
2022-07-20,with_mirrors,44
2022-07-20,without_mirrors,1
2022-07-21,with_mirrors,77
2022-07-21,without_mirrors,3
2022-07-22,with_mirrors,67
2022-07-22,without_mirrors,7
2022-07-23,with_mirrors,88
2022-07-24,with_mirrors,2
2022-07-24,without_mirrors,2
2022-07-25,with_mirrors,106
2022-07-25,without_mirrors,1
2022-07-26,with_mirrors,72
2022-07-26,without_mirrors,8
2022-07-27,with_mirrors,38
2022-07-27,without_mirrors,7
2022-07-28,with_mirrors,21
2022-07-28,without_mirrors,7
2022-07-29,with_mirrors,129
2022-07-29,without_mirrors,8
2022-07-30,with_mirrors,39
2022-07-30,without_mirrors,2
2022-07-31,with_mirrors,59
2022-08-01,with_mirrors,38
2022-08-01,without_mirrors,3
2022-08-02,with_mirrors,18
2022-08-02,without_mirrors,7
2022-08-03,with_mirrors,22
2022-08-03,without_mirrors,4
2022-08-04,with_mirrors,70
2022-08-04,without_mirrors,14
2022-08-05,with_mirrors,267
2022-08-05,without_mirrors,26
2022-08-06,with_mirrors,344
2022-08-06,without_mirrors,66
2022-08-07,with_mirrors,226
2022-08-07,without_mirrors,144
2022-08-08,with_mirrors,217
2022-08-08,without_mirrors,140
2022-08-09,with_mirrors,240
2022-08-09,without_mirrors,93
2022-08-10,with_mirrors,142
2022-08-10,without_mirrors,54
2022-08-11,with_mirrors,109
2022-08-11,without_mirrors,33
2022-08-12,with_mirrors,254
2022-08-12,without_mirrors,44
2022-08-13,with_mirrors,132
2022-08-13,without_mirrors,14
2022-08-14,with_mirrors,41
2022-08-14,without_mirrors,12
2022-08-15,with_mirrors,150
2022-08-15,without_mirrors,19
2022-08-16,with_mirrors,232
2022-08-16,without_mirrors,27
2022-08-17,with_mirrors,34
2022-08-17,without_mirrors,23
2022-08-18,with_mirrors,158
2022-08-18,without_mirrors,38
2022-08-19,with_mirrors,114
2022-08-19,without_mirrors,19
2022-08-20,with_mirrors,148
2022-08-20,without_mirrors,5
2022-08-21,with_mirrors,198
2022-08-21,without_mirrors,7
2022-08-22,with_mirrors,88
2022-08-22,without_mirrors,22
2022-08-23,with_mirrors,166
2022-08-23,without_mirrors,16
2022-08-24,with_mirrors,229
2022-08-24,without_mirrors,30
2022-08-25,with_mirrors,130
2022-08-25,without_mirrors,21
2022-08-26,with_mirrors,327
