date,category,downloads
2022-02-22,2.0,2
2022-02-22,3.0,40
2022-02-22,nan,254
2022-02-23,nan,19
2022-02-24,3.0,1
2022-02-24,nan,6
2022-02-25,2.0,1
2022-02-25,3.0,18
2022-02-25,nan,156
2022-02-26,2.0,2
2022-02-26,3.0,11
2022-02-26,nan,205
2022-02-27,3.0,6
2022-02-27,nan,57
2022-02-28,3.0,1
2022-02-28,nan,50
2022-03-01,nan,41
2022-03-02,2.0,3
2022-03-02,3.0,93
2022-03-02,nan,1000
2022-03-03,3.0,4
2022-03-03,nan,166
2022-03-04,3.0,6
2022-03-04,nan,117
2022-03-05,nan,90
2022-03-06,nan,81
2022-03-07,nan,17
2022-03-08,3.0,10
2022-03-08,nan,62
2022-03-09,nan,43
2022-03-10,nan,70
2022-03-11,nan,25
2022-03-12,nan,18
2022-03-13,nan,11
2022-03-14,nan,60
2022-03-15,3.0,1
2022-03-15,nan,12
2022-03-16,nan,9
2022-03-17,nan,30
2022-03-18,nan,18
2022-03-19,nan,14
2022-03-20,nan,40
2022-03-21,nan,29
2022-03-22,nan,42
2022-03-23,nan,29
2022-03-24,nan,45
2022-03-25,nan,9
2022-03-26,nan,28
2022-03-27,nan,9
2022-03-28,nan,18
2022-03-29,nan,54
2022-03-30,nan,11
2022-03-31,nan,21
2022-04-01,nan,46
2022-04-02,nan,4
2022-04-03,nan,12
2022-04-04,nan,11
2022-04-05,nan,21
2022-04-06,nan,10
2022-04-07,nan,37
2022-04-08,nan,46
2022-04-10,nan,11
2022-04-11,3.0,1
2022-04-11,nan,9
2022-04-12,nan,23
2022-04-13,nan,32
2022-04-14,nan,34
2022-04-15,3.0,1
2022-04-15,nan,27
2022-04-16,nan,24
2022-04-17,nan,9
2022-04-19,nan,10
2022-04-20,nan,27
2022-04-21,nan,9
2022-04-23,nan,27
2022-04-24,nan,9
2022-04-25,nan,11
2022-04-26,nan,19
2022-04-27,nan,12
2022-04-28,nan,9
2022-04-29,nan,10
2022-05-02,nan,1
2022-05-04,3.0,1
2022-05-04,nan,9
2022-05-05,nan,18
2022-05-06,nan,24
2022-05-07,3.0,1
2022-05-07,nan,12
2022-05-08,3.0,2
2022-05-08,nan,9
2022-05-09,3.0,1
2022-05-09,nan,9
2022-05-10,3.0,53
2022-05-10,nan,778
2022-05-11,3.0,6
2022-05-11,nan,59
2022-05-12,3.0,2
2022-05-12,nan,19
2022-05-13,3.0,4
2022-05-13,nan,12
2022-05-14,nan,10
2022-05-15,3.0,3
2022-05-16,3.0,3
2022-05-16,nan,17
2022-05-17,3.0,33
2022-05-17,nan,395
2022-05-18,3.0,4
2022-05-18,nan,103
2022-05-19,3.0,16
2022-05-19,nan,70
2022-05-20,2.0,1
2022-05-20,3.0,89
2022-05-20,nan,38
2022-05-21,3.0,16
2022-05-21,nan,41
2022-05-22,3.0,10
2022-05-22,nan,50
2022-05-23,2.0,1
2022-05-23,3.0,25
2022-05-23,nan,11
2022-05-24,2.0,1
2022-05-24,3.0,12
2022-05-24,nan,15
2022-05-25,3.0,18
2022-05-25,nan,198
2022-05-26,3.0,12
2022-05-26,nan,63
2022-05-27,3.0,11
2022-05-27,nan,27
2022-05-28,3.0,20
2022-05-28,nan,225
2022-05-29,3.0,6
2022-05-29,nan,68
2022-05-30,3.0,27
2022-05-30,nan,26
2022-05-31,3.0,16
2022-05-31,nan,47
2022-06-01,3.0,14
2022-06-01,nan,79
2022-06-02,3.0,5
2022-06-02,nan,14
2022-06-03,3.0,31
2022-06-03,nan,94
2022-06-04,3.0,1
2022-06-04,nan,134
2022-06-05,3.0,5
2022-06-05,nan,96
2022-06-06,2.0,2
2022-06-06,3.0,11
2022-06-06,nan,81
2022-06-07,2.0,1
2022-06-07,3.0,7
2022-06-07,nan,14
