date,category,downloads
2022-02-22,2.7,2
2022-02-22,3.5,2
2022-02-22,3.7,25
2022-02-22,3.8,5
2022-02-22,3.9,8
2022-02-22,null,254
2022-02-23,null,19
2022-02-24,3.8,1
2022-02-24,null,6
2022-02-25,2.7,1
2022-02-25,3.5,1
2022-02-25,3.7,12
2022-02-25,3.8,1
2022-02-25,3.9,4
2022-02-25,null,156
2022-02-26,2.7,2
2022-02-26,3.5,1
2022-02-26,3.7,10
2022-02-26,null,205
2022-02-27,3.7,5
2022-02-27,3.9,1
2022-02-27,null,57
2022-02-28,3.7,1
2022-02-28,null,50
2022-03-01,null,41
2022-03-02,2.7,3
2022-03-02,3.5,11
2022-03-02,3.7,65
2022-03-02,3.8,11
2022-03-02,3.9,6
2022-03-02,null,1000
2022-03-03,3.7,4
2022-03-03,null,166
2022-03-04,3.7,6
2022-03-04,null,117
2022-03-05,null,90
2022-03-06,null,81
2022-03-07,null,17
2022-03-08,3.7,1
2022-03-08,3.8,9
2022-03-08,null,62
2022-03-09,null,43
2022-03-10,null,70
2022-03-11,null,25
2022-03-12,null,18
2022-03-13,null,11
2022-03-14,null,60
2022-03-15,3.8,1
2022-03-15,null,12
2022-03-16,null,9
2022-03-17,null,30
2022-03-18,null,18
2022-03-19,null,14
2022-03-20,null,40
2022-03-21,null,29
2022-03-22,null,42
2022-03-23,null,29
2022-03-24,null,45
2022-03-25,null,9
2022-03-26,null,28
2022-03-27,null,9
2022-03-28,null,18
2022-03-29,null,54
2022-03-30,null,11
2022-03-31,null,21
2022-04-01,null,46
2022-04-02,null,4
2022-04-03,null,12
2022-04-04,null,11
2022-04-05,null,21
2022-04-06,null,10
2022-04-07,null,37
2022-04-08,null,46
2022-04-10,null,11
2022-04-11,3.8,1
2022-04-11,null,9
2022-04-12,null,23
2022-04-13,null,32
2022-04-14,null,34
2022-04-15,3.10,1
2022-04-15,null,27
2022-04-16,null,24
2022-04-17,null,9
2022-04-19,null,10
2022-04-20,null,27
2022-04-21,null,9
2022-04-23,null,27
2022-04-24,null,9
2022-04-25,null,11
2022-04-26,null,19
2022-04-27,null,12
2022-04-28,null,9
2022-04-29,null,10
2022-05-02,null,1
2022-05-04,3.7,1
2022-05-04,null,9
2022-05-05,null,18
2022-05-06,null,24
2022-05-07,3.10,1
2022-05-07,null,12
2022-05-08,3.9,2
2022-05-08,null,9
2022-05-09,3.10,1
2022-05-09,null,9
2022-05-10,3.6,1
2022-05-10,3.7,44
2022-05-10,3.8,1
2022-05-10,3.9,7
2022-05-10,null,778
2022-05-11,3.8,6
2022-05-11,null,59
2022-05-12,3.7,1
2022-05-12,3.9,1
2022-05-12,null,19
2022-05-13,3.7,2
2022-05-13,3.8,2
2022-05-13,null,12
2022-05-14,null,10
2022-05-15,3.8,2
2022-05-15,3.9,1
2022-05-16,3.10,1
2022-05-16,3.7,2
2022-05-16,null,17
2022-05-17,3.10,1
2022-05-17,3.7,28
2022-05-17,3.8,1
2022-05-17,3.9,3
2022-05-17,null,395
2022-05-18,3.7,4
2022-05-18,null,103
2022-05-19,3.10,1
2022-05-19,3.7,6
2022-05-19,3.8,4
2022-05-19,3.9,5
2022-05-19,null,70
2022-05-20,2.7,1
2022-05-20,3.10,10
2022-05-20,3.6,6
2022-05-20,3.7,18
2022-05-20,3.8,23
2022-05-20,3.9,32
2022-05-20,null,38
2022-05-21,3.7,3
2022-05-21,3.8,4
2022-05-21,3.9,9
2022-05-21,null,41
2022-05-22,3.10,1
2022-05-22,3.7,2
2022-05-22,3.8,4
2022-05-22,3.9,3
2022-05-22,null,50
2022-05-23,2.7,1
2022-05-23,3.10,1
2022-05-23,3.6,1
2022-05-23,3.7,4
2022-05-23,3.8,8
2022-05-23,3.9,11
2022-05-23,null,11
2022-05-24,2.7,1
2022-05-24,3.10,4
2022-05-24,3.7,1
2022-05-24,3.8,4
2022-05-24,3.9,3
2022-05-24,null,15
2022-05-25,3.6,1
2022-05-25,3.7,13
2022-05-25,3.8,1
2022-05-25,3.9,3
2022-05-25,null,198
2022-05-26,3.7,10
2022-05-26,3.8,2
2022-05-26,null,63
2022-05-27,3.7,6
2022-05-27,3.8,1
2022-05-27,3.9,4
2022-05-27,null,27
2022-05-28,3.10,1
2022-05-28,3.7,12
2022-05-28,3.8,2
2022-05-28,3.9,5
2022-05-28,null,225
2022-05-29,3.7,4
2022-05-29,3.8,2
2022-05-29,null,68
2022-05-30,3.10,9
2022-05-30,3.6,2
2022-05-30,3.7,4
2022-05-30,3.8,2
2022-05-30,3.9,10
2022-05-30,null,26
2022-05-31,3.7,5
2022-05-31,3.8,7
2022-05-31,3.9,4
2022-05-31,null,47
2022-06-01,3.7,5
2022-06-01,3.8,3
2022-06-01,3.9,6
2022-06-01,null,79
2022-06-02,3.6,1
2022-06-02,3.7,1
2022-06-02,3.8,1
2022-06-02,3.9,2
2022-06-02,null,14
2022-06-03,3.10,1
2022-06-03,3.7,26
2022-06-03,3.8,2
2022-06-03,3.9,2
2022-06-03,null,94
2022-06-04,3.8,1
2022-06-04,null,134
2022-06-05,3.7,3
2022-06-05,3.8,1
2022-06-05,3.9,1
2022-06-05,null,96
2022-06-06,2.7,2
2022-06-06,3.10,4
2022-06-06,3.6,1
2022-06-06,3.7,5
2022-06-06,3.9,1
2022-06-06,null,81
2022-06-07,2.7,1
2022-06-07,3.7,3
2022-06-07,3.8,2
2022-06-07,3.9,2
2022-06-07,null,14
2022-06-08,3.10,3
2022-06-08,3.7,10
2022-06-08,3.8,5
2022-06-08,3.9,7
2022-06-08,null,128
2022-06-09,3.10,2
2022-06-09,3.7,18
2022-06-09,3.8,8
2022-06-09,3.9,8
2022-06-09,null,215
2022-06-10,3.7,3
2022-06-10,3.8,3
2022-06-10,3.9,4
2022-06-10,null,195
2022-06-11,3.10,1
2022-06-11,3.7,3
2022-06-11,3.9,1
2022-06-11,null,86
2022-06-12,3.10,1
2022-06-12,3.7,1
2022-06-12,null,18
2022-06-13,3.10,1
2022-06-13,3.7,2
2022-06-13,3.8,5
2022-06-13,3.9,3
2022-06-13,null,27
2022-06-14,3.8,15
2022-06-14,3.9,1
2022-06-14,null,78
2022-06-15,3.7,2
2022-06-15,3.9,2
2022-06-15,null,77
2022-06-16,3.6,11
2022-06-16,3.7,3
2022-06-16,3.8,1
2022-06-16,3.9,3
2022-06-16,null,43
2022-06-17,3.10,1
2022-06-17,3.7,2
2022-06-17,null,42
2022-06-18,3.7,3
2022-06-18,3.9,2
2022-06-18,null,38
2022-06-19,null,43
2022-06-20,3.7,1
2022-06-20,3.8,1
2022-06-20,null,7
2022-06-21,3.6,1
2022-06-21,3.7,6
2022-06-21,3.9,1
2022-06-21,null,65
2022-06-22,2.7,1
2022-06-22,3.7,3
2022-06-22,3.8,2
2022-06-22,3.9,4
2022-06-22,null,10
2022-06-23,3.6,2
2022-06-23,3.7,2
2022-06-23,3.8,1
2022-06-23,3.9,1
2022-06-23,null,71
2022-06-24,3.6,2
2022-06-24,3.7,10
2022-06-24,3.8,1
2022-06-24,3.9,5
2022-06-24,null,143
2022-06-25,3.7,3
2022-06-25,3.8,1
2022-06-25,3.9,1
2022-06-25,null,141
2022-06-26,3.10,2
2022-06-26,3.7,1
2022-06-26,null,44
2022-06-27,2.7,1
2022-06-27,3.10,1
2022-06-27,3.6,1
2022-06-27,3.7,15
2022-06-27,3.8,8
2022-06-27,3.9,5
2022-06-27,null,264
2022-06-28,2.7,1
2022-06-28,3.10,2
2022-06-28,3.7,5
2022-06-28,3.8,3
2022-06-28,3.9,4
2022-06-28,null,93
2022-06-29,3.6,3
2022-06-29,3.7,10
2022-06-29,3.9,4
2022-06-29,null,191
2022-06-30,3.6,2
2022-06-30,3.7,6
2022-06-30,3.8,5
2022-06-30,3.9,3
2022-06-30,null,188
2022-07-01,3.10,1
2022-07-01,3.6,1
2022-07-01,3.7,9
2022-07-01,3.9,1
2022-07-01,null,261
2022-07-02,3.7,3
2022-07-02,null,42
2022-07-03,3.7,1
2022-07-03,null,136
2022-07-04,3.10,1
2022-07-04,3.7,1
2022-07-04,3.8,1
2022-07-04,3.9,1
2022-07-04,null,41
2022-07-05,3.7,4
2022-07-05,3.9,2
2022-07-05,null,63
2022-07-06,3.7,2
2022-07-06,null,38
2022-07-07,3.7,5
2022-07-07,3.9,2
2022-07-07,null,71
2022-07-08,3.10,2
2022-07-08,3.7,16
2022-07-08,3.8,3
2022-07-08,3.9,6
2022-07-08,null,240
2022-07-09,3.7,3
2022-07-09,3.8,1
2022-07-09,3.9,2
2022-07-09,null,101
2022-07-10,3.6,35
2022-07-10,3.7,1
2022-07-10,3.9,1
2022-07-10,null,85
2022-07-11,3.7,4
2022-07-11,3.8,1
2022-07-11,null,23
2022-07-12,3.7,2
2022-07-12,3.8,1
2022-07-12,null,31
2022-07-13,3.10,1
2022-07-13,3.7,2
2022-07-13,3.9,3
2022-07-13,null,11
2022-07-14,3.10,4
2022-07-14,3.7,1
2022-07-14,null,14
2022-07-15,3.10,1
2022-07-15,3.7,2
2022-07-15,null,4
2022-07-16,3.7,3
2022-07-16,3.8,1
2022-07-16,3.9,1
