date,category,downloads
2022-02-22,Darwin,8
2022-02-22,Linux,17
2022-02-22,nan,271
2022-02-22,null,271
2022-02-23,nan,19
2022-02-23,null,19
2022-02-24,Darwin,1
2022-02-24,nan,6
2022-02-24,null,6
2022-02-25,Darwin,4
2022-02-25,Linux,6
2022-02-25,nan,165
2022-02-25,null,165
2022-02-26,Linux,5
2022-02-26,nan,213
2022-02-26,null,213
2022-02-27,Darwin,1
2022-02-27,nan,62
2022-02-27,null,62
2022-02-28,Linux,1
2022-02-28,nan,50
2022-02-28,null,50
2022-03-01,nan,41
2022-03-01,null,41
2022-03-02,Darwin,12
2022-03-02,Linux,34
2022-03-02,nan,1050
2022-03-02,null,1050
2022-03-03,Linux,2
2022-03-03,nan,168
2022-03-03,null,168
2022-03-04,Darwin,1
2022-03-04,nan,122
2022-03-04,null,122
2022-03-05,nan,90
2022-03-05,null,90
2022-03-06,nan,81
2022-03-06,null,81
2022-03-07,nan,17
2022-03-07,null,17
2022-03-08,Linux,1
2022-03-08,nan,71
2022-03-08,null,71
2022-03-09,nan,43
2022-03-09,null,43
2022-03-10,nan,70
2022-03-10,null,70
2022-03-11,nan,25
2022-03-11,null,25
2022-03-12,nan,18
2022-03-12,null,18
2022-03-13,nan,11
2022-03-13,null,11
2022-03-14,nan,60
2022-03-14,null,60
2022-03-15,Windows,1
2022-03-15,nan,12
2022-03-15,null,12
2022-03-16,nan,9
2022-03-16,null,9
2022-03-17,nan,30
2022-03-17,null,30
2022-03-18,nan,18
2022-03-18,null,18
2022-03-19,nan,14
2022-03-19,null,14
2022-03-20,nan,40
2022-03-20,null,40
2022-03-21,nan,29
2022-03-21,null,29
2022-03-22,nan,42
2022-03-22,null,42
2022-03-23,nan,29
2022-03-23,null,29
2022-03-24,nan,45
2022-03-24,null,45
2022-03-25,nan,9
2022-03-25,null,9
2022-03-26,nan,28
2022-03-26,null,28
2022-03-27,nan,9
2022-03-27,null,9
2022-03-28,nan,18
2022-03-28,null,18
2022-03-29,nan,54
2022-03-29,null,54
2022-03-30,nan,11
2022-03-30,null,11
2022-03-31,nan,21
2022-03-31,null,21
2022-04-01,nan,46
2022-04-01,null,46
2022-04-02,nan,4
2022-04-02,null,4
2022-04-03,nan,12
2022-04-03,null,12
2022-04-04,nan,11
2022-04-04,null,11
2022-04-05,nan,21
2022-04-05,null,21
2022-04-06,nan,10
2022-04-06,null,10
2022-04-07,nan,37
2022-04-07,null,37
2022-04-08,nan,46
2022-04-08,null,46
2022-04-10,nan,11
2022-04-10,null,11
2022-04-11,nan,10
2022-04-11,null,10
2022-04-12,nan,23
2022-04-12,null,23
2022-04-13,nan,32
2022-04-13,null,32
2022-04-14,nan,34
2022-04-14,null,34
2022-04-15,Linux,1
2022-04-15,nan,27
2022-04-15,null,27
2022-04-16,nan,24
2022-04-16,null,24
2022-04-17,nan,9
2022-04-17,null,9
2022-04-19,nan,10
2022-04-19,null,10
2022-04-20,nan,27
2022-04-20,null,27
2022-04-21,nan,9
2022-04-21,null,9
2022-04-23,nan,27
2022-04-23,null,27
2022-04-24,nan,9
2022-04-24,null,9
2022-04-25,nan,11
2022-04-25,null,11
2022-04-26,nan,19
2022-04-26,null,19
2022-04-27,nan,12
2022-04-27,null,12
2022-04-28,nan,9
2022-04-28,null,9
2022-04-29,nan,10
2022-04-29,null,10
2022-05-02,nan,1
2022-05-02,null,1
2022-05-04,Linux,1
2022-05-04,nan,9
2022-05-04,null,9
2022-05-05,nan,18
2022-05-05,null,18
2022-05-06,nan,24
2022-05-06,null,24
2022-05-07,Linux,1
2022-05-07,nan,12
2022-05-07,null,12
2022-05-08,Darwin,2
2022-05-08,nan,9
2022-05-08,null,9
2022-05-09,Darwin,1
2022-05-09,nan,9
2022-05-09,null,9
2022-05-10,Darwin,1
2022-05-10,Linux,32
2022-05-10,nan,798
2022-05-10,null,798
2022-05-11,nan,65
2022-05-11,null,65
2022-05-12,Linux,2
2022-05-12,nan,19
2022-05-12,null,19
2022-05-13,Darwin,1
2022-05-13,Linux,3
2022-05-13,nan,12
2022-05-13,null,12
2022-05-14,nan,10
2022-05-14,null,10
2022-05-15,Darwin,3
2022-05-16,Linux,2
2022-05-16,Windows,1
2022-05-16,nan,17
2022-05-16,null,17
2022-05-17,Linux,20
2022-05-17,Windows,1
2022-05-17,nan,407
2022-05-17,null,407
2022-05-18,Linux,4
2022-05-18,nan,103
2022-05-18,null,103
2022-05-19,Darwin,5
2022-05-19,Linux,10
2022-05-19,Windows,1
2022-05-19,nan,70
2022-05-19,null,70
2022-05-20,Darwin,30
2022-05-20,Linux,55
2022-05-20,Windows,5
2022-05-20,nan,38
2022-05-20,null,38
2022-05-21,Darwin,2
2022-05-21,Linux,13
2022-05-21,Windows,1
2022-05-21,nan,41
2022-05-21,null,41
2022-05-22,Darwin,5
2022-05-22,Linux,3
2022-05-22,Windows,2
2022-05-22,nan,50
2022-05-22,null,50
2022-05-23,Darwin,8
2022-05-23,Linux,18
2022-05-23,nan,11
2022-05-23,null,11
2022-05-24,Darwin,4
2022-05-24,Linux,8
2022-05-24,Windows,1
2022-05-24,nan,15
2022-05-24,null,15
2022-05-25,Darwin,5
2022-05-25,Linux,9
2022-05-25,nan,202
2022-05-25,null,202
2022-05-26,Linux,12
2022-05-26,nan,63
2022-05-26,null,63
2022-05-27,Darwin,3
2022-05-27,Linux,8
2022-05-27,nan,27
2022-05-27,null,27
2022-05-28,Darwin,3
2022-05-28,Linux,13
2022-05-28,nan,229
2022-05-28,null,229
2022-05-29,Darwin,2
2022-05-29,Linux,4
2022-05-29,nan,68
2022-05-29,null,68
2022-05-30,Darwin,1
2022-05-30,Linux,17
2022-05-30,Windows,9
2022-05-30,nan,26
2022-05-30,null,26
2022-05-31,Darwin,2
2022-05-31,Linux,6
2022-05-31,Windows,3
2022-05-31,nan,52
2022-05-31,null,52
2022-06-01,Darwin,4
2022-06-01,Linux,8
2022-06-01,Windows,1
2022-06-01,nan,80
2022-06-01,null,80
2022-06-02,Darwin,2
2022-06-02,Linux,2
2022-06-02,Windows,1
2022-06-02,nan,14
2022-06-02,null,14
2022-06-03,Linux,8
2022-06-03,nan,117
2022-06-03,null,117
2022-06-04,Linux,1
2022-06-04,nan,134
2022-06-04,null,134
2022-06-05,Darwin,2
2022-06-05,Linux,3
2022-06-05,nan,96
2022-06-05,null,96
2022-06-06,Darwin,5
2022-06-06,Linux,8
2022-06-06,nan,81
2022-06-06,null,81
2022-06-07,Darwin,2
2022-06-07,Linux,4
2022-06-07,Windows,2
2022-06-07,nan,14
2022-06-07,null,14
2022-06-08,Darwin,7
2022-06-08,Linux,10
2022-06-08,Windows,2
2022-06-08,nan,134
2022-06-08,null,134
2022-06-09,Darwin,5
2022-06-09,Linux,20
2022-06-09,Windows,1
2022-06-09,nan,225
2022-06-09,null,225
2022-06-10,Darwin,3
2022-06-10,Linux,4
2022-06-10,Windows,1
2022-06-10,nan,197
2022-06-10,null,197
2022-06-11,Darwin,2
2022-06-11,Linux,3
2022-06-11,nan,86
2022-06-11,null,86
2022-06-12,Darwin,1
2022-06-12,Windows,1
2022-06-12,nan,18
2022-06-12,null,18
2022-06-13,Darwin,2
2022-06-13,Linux,6
2022-06-13,Windows,3
2022-06-13,nan,27
2022-06-13,null,27
2022-06-14,Darwin,1
2022-06-14,Linux,2
2022-06-14,nan,91
2022-06-14,null,91
2022-06-15,Darwin,2
2022-06-15,Linux,2
2022-06-15,nan,77
2022-06-15,null,77
2022-06-16,Darwin,1
2022-06-16,Linux,7
2022-06-16,nan,53
2022-06-16,null,53
2022-06-17,Darwin,1
2022-06-17,Linux,2
2022-06-17,nan,42
2022-06-17,null,42
2022-06-18,Linux,5
2022-06-18,nan,38
2022-06-18,null,38
2022-06-19,nan,43
2022-06-19,null,43
2022-06-20,Darwin,1
2022-06-20,Linux,1
2022-06-20,nan,7
2022-06-20,null,7
2022-06-21,Linux,8
2022-06-21,nan,65
2022-06-21,null,65
2022-06-22,Darwin,2
2022-06-22,Linux,8
2022-06-22,nan,10
2022-06-22,null,10
2022-06-23,Darwin,1
2022-06-23,Linux,5
2022-06-23,nan,71
2022-06-23,null,71
2022-06-24,Darwin,1
2022-06-24,Linux,11
2022-06-24,nan,149
2022-06-24,null,149
2022-06-25,Darwin,2
2022-06-25,Linux,1
2022-06-25,nan,143
2022-06-25,null,143
2022-06-26,Linux,3
2022-06-26,nan,44
2022-06-26,null,44
2022-06-27,Darwin,4
2022-06-27,Linux,14
2022-06-27,Windows,3
2022-06-27,nan,274
2022-06-27,null,274
2022-06-28,Darwin,5
2022-06-28,Linux,8
2022-06-28,Windows,2
2022-06-28,nan,93
2022-06-28,null,93
2022-06-29,Linux,11
2022-06-29,nan,197
2022-06-29,null,197
2022-06-30,Darwin,1
2022-06-30,Linux,13
2022-06-30,nan,190
2022-06-30,null,190
2022-07-01,Linux,5
2022-07-01,Windows,1
2022-07-01,nan,267
2022-07-01,null,267
2022-07-02,Linux,3
2022-07-02,nan,42
2022-07-02,null,42
2022-07-03,Linux,1
2022-07-03,nan,136
2022-07-03,null,136
2022-07-04,Linux,3
2022-07-04,Windows,1
2022-07-04,nan,41
2022-07-04,null,41
2022-07-05,Linux,6
2022-07-05,nan,63
2022-07-05,null,63
2022-07-06,Linux,2
2022-07-06,nan,38
2022-07-06,null,38
2022-07-07,Darwin,1
2022-07-07,Linux,6
2022-07-07,nan,71
2022-07-07,null,71
2022-07-08,Darwin,4
2022-07-08,Linux,10
2022-07-08,nan,253
2022-07-08,null,253
2022-07-09,Darwin,2
2022-07-09,Linux,4
2022-07-09,nan,101
2022-07-09,null,101
2022-07-10,Linux,2
2022-07-10,nan,120
2022-07-10,null,120
2022-07-11,Linux,5
2022-07-11,nan,23
2022-07-11,null,23
2022-07-12,Linux,3
2022-07-12,nan,31
2022-07-12,null,31
2022-07-13,Darwin,1
2022-07-13,Linux,5
2022-07-13,nan,11
2022-07-13,null,11
2022-07-14,Darwin,1
2022-07-14,Linux,4
2022-07-14,nan,14
2022-07-14,null,14
2022-07-15,Darwin,1
2022-07-15,Linux,2
2022-07-15,nan,4
2022-07-15,null,4
2022-07-16,Darwin,1
2022-07-16,Linux,4
2022-07-16,nan,4
2022-07-16,null,4
2022-07-17,Darwin,1
2022-07-17,Linux,4
2022-07-17,nan,40
2022-07-17,null,40
2022-07-18,Darwin,1
2022-07-18,Linux,1
2022-07-18,nan,56
2022-07-18,null,56
2022-07-19,Darwin,3
2022-07-19,Linux,2
2022-07-19,Windows,1
2022-07-19,nan,37
2022-07-19,null,37
2022-07-20,Linux,1
2022-07-20,nan,43
2022-07-20,null,43
2022-07-21,Linux,3
2022-07-21,nan,74
2022-07-21,null,74
2022-07-22,Linux,7
2022-07-22,nan,60
2022-07-22,null,60
2022-07-23,nan,88
2022-07-23,null,88
