date,downloads
2025-07-09,627
2025-07-10,907
2025-07-11,890
2025-07-12,302
2025-07-13,566
2025-07-14,976
2025-07-15,1113
2025-07-16,796
2025-07-17,739
2025-07-18,633
2025-07-19,620
2025-07-20,564
2025-07-21,642
2025-07-22,827
2025-07-23,790
2025-07-24,847
2025-07-25,903
2025-07-26,455
2025-07-27,290
2025-07-28,999
2025-07-29,1088
2025-07-30,799
2025-07-31,1157
2025-08-01,865
2025-08-02,325
2025-08-03,712
2025-08-04,1545
2025-08-05,1310
2025-08-06,2736
2025-08-07,1628
2025-08-08,908
2025-08-09,462
2025-08-10,373
2025-08-11,1289
2025-08-12,2121
2025-08-13,1236
2025-08-14,1390
2025-08-15,1116
2025-08-16,543
2025-08-17,354
2025-08-18,896
2025-08-19,1076
2025-08-20,1105
2025-08-21,890
2025-08-22,796
2025-08-23,482
2025-08-24,622
2025-08-25,931
2025-08-26,1468
2025-08-27,1445
2025-08-28,1465
2025-08-29,998
2025-08-30,601
2025-08-31,408
2025-09-01,779
2025-09-02,1856
2025-09-03,1229
2025-09-04,1573
2025-09-05,1195
2025-09-06,951
2025-09-07,687
2025-09-08,1463
2025-09-09,1534
2025-09-10,2086
2025-09-11,1194
2025-09-12,1481
2025-09-13,1280
2025-09-14,1055
2025-09-15,1296
2025-09-16,2034
2025-09-17,2392
2025-09-18,1616
2025-09-19,1046
2025-09-20,1109
2025-09-21,1382
2025-09-22,2092
2025-09-23,1442
2025-09-24,1916
2025-09-25,1726
2025-09-26,1123
2025-09-27,862
2025-09-28,1119
2025-09-29,1466
2025-09-30,1828
2025-10-01,1515
2025-10-02,1368
2025-10-03,2031
2025-10-04,1147
2025-10-05,878
2025-10-06,1732
2025-10-07,1646
2025-10-08,1235
2025-10-09,1505
2025-10-10,804
2025-10-11,489
2025-10-12,411
2025-10-13,692
2025-10-14,748
2025-10-15,955
2025-10-16,1930
2025-10-17,770
2025-10-18,542
2025-10-19,500
2025-10-20,731
2025-10-21,810
2025-10-22,850
2025-10-23,838
2025-10-24,961
2025-10-25,532
2025-10-26,414
2025-10-27,1254
2025-10-28,1463
2025-10-29,1469
2025-10-30,1888
2025-10-31,937
2025-11-01,715
2025-11-02,1382
2025-11-03,2967
2025-11-04,1469
2025-11-05,1782
2025-11-06,1300
2025-11-07,1670
2025-11-08,1429
2025-11-09,2344
2025-11-10,1824
2025-11-11,1337
2025-11-12,996
2025-11-13,1230
2025-11-14,1071
2025-11-15,2975
2025-11-16,3568
2025-11-17,2195
2025-11-18,1894
2025-11-19,1812
2025-11-20,2054
2025-11-21,1853
2025-11-22,951
2025-11-23,686
2025-11-24,1078
2025-11-25,1000
2025-11-26,623
2025-11-27,432
2025-11-28,407
2025-11-29,253
2025-11-30,488
2025-12-01,734
2025-12-02,879
2025-12-03,909
2025-12-04,722
2025-12-05,866
2025-12-06,317
2025-12-07,424
2025-12-08,677
2025-12-09,982
2025-12-10,692
2025-12-11,862
2025-12-12,912
2025-12-13,477
2025-12-14,369
2025-12-15,759
2025-12-16,576
2025-12-17,1024
2025-12-18,800
2025-12-19,630
2025-12-20,735
2025-12-21,334
2025-12-22,497
2025-12-23,555
2025-12-24,425
2025-12-25,358
2025-12-26,389
2025-12-27,366
2025-12-28,1411
2025-12-29,1690
2025-12-30,2370
2025-12-31,1928
2026-01-01,2018
2026-01-02,1977
2026-01-03,1195
2026-01-04,2169
2026-01-05,2423
2026-01-06,1856
2026-01-07,1438
