date,category,downloads
2025-08-04,with_mirrors,1545
2025-08-04,without_mirrors,1545
2025-08-05,with_mirrors,1310
2025-08-05,without_mirrors,1145
2025-08-06,with_mirrors,2736
2025-08-06,without_mirrors,2704
2025-08-07,with_mirrors,1628
2025-08-07,without_mirrors,1591
2025-08-08,with_mirrors,908
2025-08-08,without_mirrors,892
2025-08-09,with_mirrors,462
2025-08-09,without_mirrors,353
2025-08-10,with_mirrors,373
2025-08-10,without_mirrors,357
2025-08-11,with_mirrors,1289
2025-08-11,without_mirrors,1259
2025-08-12,with_mirrors,2121
2025-08-12,without_mirrors,2113
2025-08-13,with_mirrors,1236
2025-08-13,without_mirrors,1136
2025-08-14,with_mirrors,1390
2025-08-14,without_mirrors,1387
2025-08-15,with_mirrors,1116
2025-08-15,without_mirrors,1114
2025-08-16,with_mirrors,543
2025-08-16,without_mirrors,541
2025-08-17,with_mirrors,354
2025-08-17,without_mirrors,348
2025-08-18,with_mirrors,896
2025-08-18,without_mirrors,883
2025-08-19,with_mirrors,1076
2025-08-19,without_mirrors,1076
2025-08-20,with_mirrors,1105
2025-08-20,without_mirrors,1102
2025-08-21,with_mirrors,890
2025-08-21,without_mirrors,791
2025-08-22,with_mirrors,796
2025-08-22,without_mirrors,783
2025-08-23,with_mirrors,482
2025-08-23,without_mirrors,420
2025-08-24,with_mirrors,622
2025-08-24,without_mirrors,491
2025-08-25,with_mirrors,931
2025-08-25,without_mirrors,925
2025-08-26,with_mirrors,1468
2025-08-26,without_mirrors,1461
2025-08-27,with_mirrors,1445
2025-08-27,without_mirrors,1280
2025-08-28,with_mirrors,1465
2025-08-28,without_mirrors,1241
2025-08-29,with_mirrors,998
2025-08-29,without_mirrors,776
2025-08-30,with_mirrors,601
2025-08-30,without_mirrors,407
2025-08-31,with_mirrors,408
2025-08-31,without_mirrors,365
2025-09-01,with_mirrors,779
2025-09-01,without_mirrors,682
2025-09-02,with_mirrors,1856
2025-09-02,without_mirrors,1853
2025-09-03,with_mirrors,1229
2025-09-03,without_mirrors,1219
2025-09-04,with_mirrors,1573
2025-09-04,without_mirrors,1425
2025-09-05,with_mirrors,1195
2025-09-05,without_mirrors,1061
2025-09-06,with_mirrors,951
2025-09-06,without_mirrors,556
2025-09-07,with_mirrors,687
2025-09-07,without_mirrors,666
2025-09-08,with_mirrors,1463
2025-09-08,without_mirrors,1420
2025-09-09,with_mirrors,1534
2025-09-09,without_mirrors,1422
2025-09-10,with_mirrors,2086
2025-09-10,without_mirrors,1971
2025-09-11,with_mirrors,1194
2025-09-11,without_mirrors,1103
2025-09-12,with_mirrors,1481
2025-09-12,without_mirrors,1307
2025-09-13,with_mirrors,1280
2025-09-13,without_mirrors,898
2025-09-14,with_mirrors,1055
2025-09-14,without_mirrors,823
2025-09-15,with_mirrors,1296
2025-09-15,without_mirrors,1285
2025-09-16,with_mirrors,2034
2025-09-16,without_mirrors,2014
2025-09-17,with_mirrors,2392
2025-09-17,without_mirrors,2275
2025-09-18,with_mirrors,1616
2025-09-18,without_mirrors,1599
2025-09-19,with_mirrors,1046
2025-09-19,without_mirrors,1041
2025-09-20,with_mirrors,1109
