date,category,downloads
2025-08-02,2,0
2025-08-02,2.0,0
2025-08-02,3,318
2025-08-02,3.0,318
2025-08-02,nan,6
2025-08-02,null,6
2025-08-03,2,0
2025-08-03,2.0,0
2025-08-03,3,696
2025-08-03,3.0,696
2025-08-03,nan,3
2025-08-03,null,3
2025-08-04,2,0
2025-08-04,2.0,0
2025-08-04,3,1534
2025-08-04,3.0,1534
2025-08-04,nan,11
2025-08-04,null,11
2025-08-05,2,0
2025-08-05,2.0,0
2025-08-05,3,1126
2025-08-05,3.0,1126
2025-08-05,nan,19
2025-08-05,null,19
2025-08-06,2,0
2025-08-06,2.0,0
2025-08-06,3,2699
2025-08-06,3.0,2699
2025-08-06,nan,5
2025-08-06,null,5
2025-08-07,2,0
2025-08-07,2.0,0
2025-08-07,3,1582
2025-08-07,3.0,1582
2025-08-07,nan,9
2025-08-07,null,9
2025-08-08,2,0
2025-08-08,2.0,0
2025-08-08,3,881
2025-08-08,3.0,881
2025-08-08,nan,11
2025-08-08,null,11
2025-08-09,2,0
2025-08-09,2.0,0
2025-08-09,3,347
2025-08-09,3.0,347
2025-08-09,nan,6
2025-08-09,null,6
2025-08-10,2,0
2025-08-10,2.0,0
2025-08-10,3,352
2025-08-10,3.0,352
2025-08-10,nan,5
2025-08-10,null,5
2025-08-11,2,0
2025-08-11,2.0,0
2025-08-11,3,1247
2025-08-11,3.0,1247
2025-08-11,nan,12
2025-08-11,null,12
2025-08-12,2,0
2025-08-12,2.0,0
2025-08-12,3,2112
2025-08-12,3.0,2112
2025-08-12,nan,1
2025-08-12,null,1
2025-08-13,2,0
2025-08-13,2.0,0
2025-08-13,3,1118
2025-08-13,3.0,1118
2025-08-13,nan,18
2025-08-13,null,18
2025-08-14,2,0
2025-08-14,2.0,0
2025-08-14,3,1368
2025-08-14,3.0,1368
2025-08-14,nan,19
2025-08-14,null,19
2025-08-15,2,0
2025-08-15,2.0,0
2025-08-15,3,1101
2025-08-15,3.0,1101
2025-08-15,nan,13
2025-08-15,null,13
2025-08-16,2,0
2025-08-16,2.0,0
2025-08-16,3,540
2025-08-16,3.0,540
2025-08-16,nan,1
2025-08-16,null,1
2025-08-17,2,0
2025-08-17,2.0,0
2025-08-17,3,329
2025-08-17,3.0,329
2025-08-17,nan,19
2025-08-17,null,19
2025-08-18,2,0
2025-08-18,2.0,0
2025-08-18,3,823
2025-08-18,3.0,823
2025-08-18,nan,60
2025-08-18,null,60
2025-08-19,2,0
2025-08-19,2.0,0
2025-08-19,3,1056
2025-08-19,3.0,1056
2025-08-19,nan,20
2025-08-19,null,20
2025-08-20,2,0
2025-08-20,2.0,0
2025-08-20,3,1022
2025-08-20,3.0,1022
2025-08-20,nan,80
2025-08-20,null,80
2025-08-21,2,0
2025-08-21,2.0,0
2025-08-21,3,785
2025-08-21,3.0,785
2025-08-21,nan,6
2025-08-21,null,6
2025-08-22,2,0
2025-08-22,2.0,0
2025-08-22,3,781
2025-08-22,3.0,781
2025-08-22,nan,2
2025-08-22,null,2
2025-08-23,2,0
2025-08-23,2.0,0
2025-08-23,3,419
2025-08-23,3.0,419
2025-08-23,nan,1
2025-08-23,null,1
2025-08-24,2,0
2025-08-24,2.0,0
2025-08-24,3,459
2025-08-24,3.0,459
2025-08-24,nan,32
2025-08-24,null,32
2025-08-25,2,0
2025-08-25,2.0,0
2025-08-25,3,904
2025-08-25,3.0,904
2025-08-25,nan,21
2025-08-25,null,21
2025-08-26,2,0
2025-08-26,2.0,0
2025-08-26,3,1460
2025-08-26,3.0,1460
2025-08-26,nan,1
2025-08-26,null,1
2025-08-27,2,0
2025-08-27,2.0,0
2025-08-27,3,1280
2025-08-27,3.0,1280
2025-08-27,nan,0
2025-08-27,null,0
2025-08-28,2,0
2025-08-28,2.0,0
2025-08-28,3,1240
2025-08-28,3.0,1240
2025-08-28,nan,1
2025-08-28,null,1
2025-08-29,2,0
2025-08-29,2.0,0
2025-08-29,3,749
2025-08-29,3.0,749
2025-08-29,nan,27
2025-08-29,null,27
2025-08-30,2,0
2025-08-30,2.0,0
2025-08-30,3,404
2025-08-30,3.0,404
2025-08-30,nan,3
2025-08-30,null,3
2025-08-31,2,0
2025-08-31,2.0,0
2025-08-31,3,354
2025-08-31,3.0,354
2025-08-31,nan,11
2025-08-31,null,11
2025-09-01,2,0
2025-09-01,2.0,0
2025-09-01,3,623
2025-09-01,3.0,623
2025-09-01,nan,59
2025-09-01,null,59
2025-09-02,2,0
2025-09-02,2.0,0
2025-09-02,3,1777
2025-09-02,3.0,1777
2025-09-02,nan,76
2025-09-02,null,76
2025-09-03,2,0
2025-09-03,2.0,0
2025-09-03,3,1200
2025-09-03,3.0,1200
2025-09-03,nan,19
2025-09-03,null,19
2025-09-04,2,0
2025-09-04,2.0,0
2025-09-04,3,1392
2025-09-04,3.0,1392
2025-09-04,nan,33
2025-09-04,null,33
2025-09-05,2,0
2025-09-05,2.0,0
2025-09-05,3,1040
2025-09-05,3.0,1040
2025-09-05,nan,21
2025-09-05,null,21
2025-09-06,2,0
2025-09-06,2.0,0
2025-09-06,3,549
2025-09-06,3.0,549
2025-09-06,nan,7
2025-09-06,null,7
2025-09-07,2,0
2025-09-07,2.0,0
2025-09-07,3,643
2025-09-07,3.0,643
2025-09-07,nan,23
2025-09-07,null,23
2025-09-08,2,0
2025-09-08,2.0,0
2025-09-08,3,1401
2025-09-08,3.0,1401
2025-09-08,nan,19
2025-09-08,null,19
2025-09-09,2,0
2025-09-09,2.0,0
2025-09-09,3,1419
2025-09-09,3.0,1419
2025-09-09,nan,3
2025-09-09,null,3
2025-09-10,2,0
2025-09-10,2.0,0
2025-09-10,3,1969
2025-09-10,3.0,1969
2025-09-10,nan,2
2025-09-10,null,2
2025-09-11,2,0
2025-09-11,2.0,0
2025-09-11,3,1054
2025-09-11,3.0,1054
2025-09-11,nan,49
2025-09-11,null,49
2025-09-12,2,0
2025-09-12,2.0,0
2025-09-12,3,1256
2025-09-12,3.0,1256
2025-09-12,nan,51
2025-09-12,null,51
2025-09-13,2,0
2025-09-13,2.0,0
2025-09-13,3,844
2025-09-13,3.0,844
