date,category,downloads
2025-08-02,Darwin,41
2025-08-02,Linux,273
2025-08-02,Windows,4
2025-08-02,null,6
2025-08-03,Darwin,101
2025-08-03,Linux,579
2025-08-03,Windows,17
2025-08-03,null,2
2025-08-04,Darwin,206
2025-08-04,Linux,1323
2025-08-04,Windows,6
2025-08-04,null,10
2025-08-05,Darwin,97
2025-08-05,Linux,1023
2025-08-05,Windows,15
2025-08-05,null,10
2025-08-06,Darwin,386
2025-08-06,Linux,2308
2025-08-06,Windows,7
2025-08-06,null,3
2025-08-07,Darwin,199
2025-08-07,Linux,1373
2025-08-07,Windows,19
2025-08-07,null,0
2025-08-08,Darwin,74
2025-08-08,Linux,798
2025-08-08,Windows,16
2025-08-08,null,4
2025-08-09,Darwin,35
2025-08-09,Linux,307
2025-08-09,Windows,5
2025-08-09,null,6
2025-08-10,Darwin,38
2025-08-10,Linux,306
2025-08-10,Windows,8
2025-08-10,null,5
2025-08-11,Darwin,110
2025-08-11,Linux,1112
2025-08-11,Windows,28
2025-08-11,null,9
2025-08-12,Darwin,232
2025-08-12,Linux,1871
2025-08-12,Windows,9
2025-08-12,null,1
2025-08-13,Darwin,136
2025-08-13,Linux,978
2025-08-13,Windows,12
2025-08-13,null,10
2025-08-14,Darwin,114
2025-08-14,Linux,1260
2025-08-14,Windows,8
2025-08-14,null,5
2025-08-15,Darwin,118
2025-08-15,Linux,990
2025-08-15,Windows,4
2025-08-15,null,2
2025-08-16,Darwin,40
2025-08-16,Linux,493
2025-08-16,Windows,8
2025-08-16,null,0
2025-08-17,Darwin,35
2025-08-17,Linux,304
2025-08-17,Windows,2
2025-08-17,null,7
2025-08-18,Darwin,72
2025-08-18,Linux,790
2025-08-18,Windows,6
2025-08-18,null,15
2025-08-19,Darwin,91
2025-08-19,Linux,937
2025-08-19,Windows,31
2025-08-19,null,17
2025-08-20,Darwin,72
2025-08-20,Linux,986
2025-08-20,Windows,21
2025-08-20,null,23
2025-08-21,Darwin,53
